gViewToClip,"[1.0000, 0.0000, 0.0000, 0.0000]
[0.0000, 1.7778, 0.0000, 0.0000]
[-0.0000, -0.0000, 1.0000, 1.0000]
[0.0000, 0.0000, -0.0010, 0.0000]",-
gViewToWorld,"[-0.9997, -0.0236, -0.0000, 0.0000]
[0.0031, -0.1315, 0.9913, 0.0000]
[0.0234, -0.9910, -0.1315, 0.0000]
[0.0000, 0.0000, 0.0000, 1.0000]",-
gFrustum,"[-1.0000, 0.5625, 2.0000, -1.1250]",-
gHitDistParams,"[3.0000, 0.1000, 20.0000, -25.0000]",-
gViewVectorWorld,"[-0.0234, 0.9910, 0.1315, 0.0000]",-
gViewVectorWorldPrev,"[-0.0234, 0.9910, 0.1315, 0.0000]",-
gInvScreenSize,"[0.0008, 0.0014]",-
gScreenSize,"[1280.0000, 720.0000]",-
gInvRectSize,"[0.0008, 0.0014]",-
gRectSize,"[1280.0000, 720.0000]",-
gRectSizePrev,"[1280.0000, 720.0000]",-
gResolutionScale,"[1.0000, 1.0000]",-
gRectOffset,"[0.0000, 0.0000]",-
gSensitivityToDarkness,"[0.0100, 0.1000]",-
gRectOrigin,"[0, 0]",-
gReference,0.0000,-
gOrthoMode,0.0000,-
gUnproject,0.0016,-
gDebug,0.0000,-
gDenoisingRange,60.6960,-
gPlaneDistSensitivity,0.0050,-
gFramerateScale,0.5000,-
gBlurRadius,30.0000,-
gMaxAccumulatedFrameNum,1.0000,-
gMaxFastAccumulatedFrameNum,0.0000,-
gAntiFirefly,0.0000,-
gMinConvergedStateBaseRadiusScale,0.2500,-
gLobeAngleFraction,0.1000,-
gRoughnessFraction,0.0500,-
gResponsiveAccumulationRoughnessThreshold,0.0000,-
gDiffPrepassBlurRadius,30.0000,-
gSpecPrepassBlurRadius,50.0000,-
gIsWorldSpaceMotionEnabled,1,-
gFrameIndex,42372,-
gResetHistory,0,-
gDiffMaterialMask,1,-
gSpecMaterialMask,0,-
gWorldToViewPrev,"[-0.9997, 0.0031, 0.0234, 0.0000]
[-0.0236, -0.1315, -0.9910, 0.0000]
[-0.0000, 0.9913, -0.1315, 0.0000]
[0.0000, -0.0000, -0.0000, 1.0000]",-
gWorldToClipPrev,"[-0.9997, 0.0055, 0.0234, 0.0234]
[-0.0236, -0.2337, -0.9910, -0.9910]
[0.0000, 1.7623, -0.1315, -0.1315]
[0.0000, 0.0000, -0.0010, 0.0000]",-
gWorldToClip,"[-0.9997, 0.0055, 0.0234, 0.0234]
[-0.0236, -0.2337, -0.9910, -0.9910]
[0.0000, 1.7623, -0.1315, -0.1315]
[0.0000, 0.0000, -0.0010, 0.0000]",-
gWorldPrevToWorld,"[1.0000, 0.0000, 0.0000, 0.0000]
[0.0000, 1.0000, 0.0000, 0.0000]
[0.0000, 0.0000, 1.0000, 0.0000]
[0.0000, 0.0000, 0.0000, 1.0000]",-
gFrustumPrev,"[-1.0000, 0.5625, 2.0000, -1.1250]",-
gCameraDelta,"[0.0000, 0.0000, 0.0000, 0.0000]",-
gRotator,"[-0.5868, 0.8098, -0.8098, -0.5868]",-
gMotionVectorScale,"[1.0000, 1.0000]",-
gCheckerboardResolveAccumSpeed,0.6447,-
gDisocclusionThreshold,0.0071,-
gDiffCheckerboard,2,-
gSpecCheckerboard,2,-
gIsPrepassEnabled,0,-
